Year,Month,period_label,emb_x,emb_y
2013,1,2013-01,0.04049403166041851,-0.3730517270792859
2013,2,2013-02,0.208079539743665,-0.643607625120788
2013,3,2013-03,-0.5455238753633146,-0.6774091354136084
2013,4,2013-04,-0.19244384522485194,-0.37117303136798097
2013,5,2013-05,-0.2762737461879656,-0.17929312195259858
2013,6,2013-06,-0.012842346224645819,0.1413801660258931
2013,7,2013-07,0.21417193485871272,0.12012392122320058
2013,8,2013-08,-0.5497778103547971,-0.21309749792631674
2013,9,2013-09,0.2424157687157168,0.04287965999844215
2013,10,2013-10,0.1827300002837573,-0.09664770935598081
2013,11,2013-11,0.5999359846228024,0.14651861743561304
2013,12,2013-12,0.34937103796826213,-0.09985821112083788
2014,1,2014-01,0.5198204565325947,0.056648129392820365
2014,2,2014-02,0.3097204738177138,-0.02045103808697474
2014,3,2014-03,-0.21524141235414532,-0.0664592994209871
2014,4,2014-04,0.2968096171876032,0.08978557263880917
2014,5,2014-05,0.1767116686347479,0.3585316329838998
2014,6,2014-06,-0.31762279526814285,0.6205995678784204
2014,7,2014-07,-0.48661790806890093,0.5572676255483472
2014,8,2014-08,-0.7542320315643009,0.15890899946768508
2014,9,2014-09,0.0436270766086917,0.11203317258938057
2014,10,2014-10,-0.1542983176037737,0.3469046717851172
2014,11,2014-11,0.1560981311665596,0.05986890610880441
2014,12,2014-12,-0.1357212877640644,-0.02241799239846369
2015,1,2015-01,-0.07144053138262353,0.10326986039103218
2015,2,2015-02,0.1508924348661604,-0.16695245801945185
2015,3,2015-03,0.09482354999096818,0.023294348569602514
2015,4,2015-04,0.12633420070315116,-0.007596004773795064
