Year,Month,period_label,med_housing_price,housing_sales_vol,emb_x_att1,emb_y_att1
2013,1,2013-01,380000,405,-2.051330305174509,1.0974937253016952
2013,2,2013-02,359500,332,-2.6225786345603193,1.48545334835489
2013,3,2013-03,400000,479,-1.4905242316471026,0.7224871623032421
2013,4,2013-04,403000,558,-1.321161518152344,0.7514779803191219
2013,5,2013-05,425500,809,-0.47966098346623054,0.5401892989136443
2013,6,2013-06,445000,864,0.04559479223939875,0.15302775400656124
2013,7,2013-07,429000,909,-0.2722371679533583,0.5838459030344915
2013,8,2013-08,435000,989,-0.03143310462099169,0.5439061754091005
2013,9,2013-09,438000,677,-0.35293261151015404,0.08203477304105879
2013,10,2013-10,465000,619,0.2059275964510226,-0.6224520783076742
2013,11,2013-11,450000,570,-0.20651684505643594,-0.3330370424207386
2013,12,2013-12,429000,591,-0.6714550351709717,0.18462803581687756
2014,1,2014-01,475000,440,0.2151637800103089,-1.0811222130113178
2014,2,2014-02,459400,384,-0.22010566573221765,-0.7864578022636745
2014,3,2014-03,474389,478,0.24857452171778308,-1.0191223952579787
2014,4,2014-04,470000,459,0.12203984030977968,-0.9402929935803821
2014,5,2014-05,465000,1092,0.7997327888847684,-0.02864688587392774
2014,6,2014-06,480000,2342,2.71991515029271,1.1896759981396217
2014,7,2014-07,450000,2508,2.2264524211943026,2.0999322238300033
2014,8,2014-08,456000,1612,1.2419840367141197,0.8347200483920609
2014,9,2014-09,462000,603,0.11565521514088564,-0.5723525641389324
2014,10,2014-10,450000,1651,1.150572823063816,1.0240526256995148
2014,11,2014-11,460500,420,-0.14917634269368718,-0.7669981742340661
2014,12,2014-12,478000,524,0.39080350399591046,-1.045854384504595
2015,1,2015-01,475000,369,0.1260302310403386,-1.1702557619812883
2015,2,2015-02,465000,333,-0.1531174036251958,-0.9814970783838931
2015,3,2015-03,465000,448,-0.008746162335807257,-0.8371258370945044
2015,4,2015-04,480000,512,0.42252931064418026,-1.1077098415089113
