Year,Month,periodLabel,unemp_rate,labor_force_part_rate,total_jobs,logTotalJobs,embX,embY
2013,1,2013-01,0.066,0.631,322957,12.685277562790283,-0.7499342017010778,0.17055310809014992
2013,2,2013-02,0.06,0.629,324295,12.689411957960939,-0.6970403802470453,0.057636663694638046
2013,3,2013-03,0.058,0.631,325597,12.693418770585515,-0.6411800080636006,0.05756275718156418
2013,4,2013-04,0.058,0.632,326101,12.694965494846613,-0.624931162413865,0.07143825191093009
2013,5,2013-05,0.063,0.633,325160,12.692075723264809,-0.6744311549513512,0.15568716477281785
2013,6,2013-06,0.07,0.645,329151,12.704274929134588,-0.5720062221824578,0.4207725469754802
2013,7,2013-07,0.068,0.645,329650,12.705789798057245,-0.5465923779781607,0.39272103316638596
2013,8,2013-08,0.063,0.643,330525,12.708440603863473,-0.5088817053361723,0.29410392561713966
2013,9,2013-09,0.063,0.635,326334,12.695679740083794,-0.6401923986968406,0.1832457968649856
2013,10,2013-10,0.058,0.637,328683,12.70285208186276,-0.5431653129838298,0.1407580954983557
2013,11,2013-11,0.055,0.641,331900,12.712592010659236,-0.43568181245739707,0.15370028738120448
2013,12,2013-12,0.053,0.637,330927,12.709656108039106,-0.4693430708670644,0.06949270678507058
2014,1,2014-01,0.058,0.627,329581,12.705580463875698,-0.6436057250424158,-0.004852080484017328
2014,2,2014-02,0.054,0.628,331686,12.711947032126115,-0.5704248341472693,-0.0477540385298677
2014,3,2014-03,0.052,0.631,334019,12.718956150405608,-0.49335200660711653,-0.0345008427725239
2014,4,2014-04,0.049,0.629,333925,12.718674690525257,-0.4858885762644469,-0.10453243016993381
2014,5,2014-05,0.053,0.631,333710,12.71803062793606,-0.5066321177269133,-0.020411758460426994
2014,6,2014-06,0.058,0.644,338655,12.732740121893452,-0.3644244747041243,0.23070530967892805
2014,7,2014-07,0.059,0.647,339755,12.735982991901604,-0.33056684472383807,0.28659862211221554
2014,8,2014-08,0.055,0.646,340804,12.739065745191176,-0.29053280477444393,0.21601739544704085
2014,9,2014-09,0.054,0.637,336259,12.725639949232919,-0.4249613556027665,0.07721116314189456
2014,10,2014-10,0.048,0.642,341224,12.740297362724396,-0.259362446355488,0.06153773371020031
2014,11,2014-11,0.047,0.644,342700,12.744613625862527,-0.21257086195889655,0.0750876335977186
2014,12,2014-12,0.044,0.64,341626,12.741474777585717,-0.2368001453744005,-0.022783879262528835
2015,1,2015-01,0.05,0.632,341410,12.740842309092894,-0.38749655057747723,-0.05576904495447578
2015,2,2015-02,0.046,0.633,343127,12.74585883437711,-0.31891937775699714,-0.09816237230123279
2015,3,2015-03,0.043,0.633,344283,12.749222177146017,-0.2770781093167061,-0.14065069372880154
2015,4,2015-04,0.041,0.633,345110,12.751621383396996,-0.24864862794794423,-0.16903538294401166
2015,5,2015-05,0.046,0.634,344024,12.748469608133483,-0.2990420669277294,-0.08468775980465439
2015,6,2015-06,0.05,0.644,347691,12.759072309390733,-0.19363807605772038,0.1108614800628741
2015,7,2015-07,0.049,0.645,348817,12.76230557519003,-0.1615140039257793,0.11036117541210635
2015,8,2015-08,0.044,0.643,349467,12.764167277093657,-0.1264942174186258,0.012041363933935753
2015,9,2015-09,0.044,0.634,344477,12.749785506729037,-0.2743067220854154,-0.11266431124654434
2015,10,2015-10,0.04,0.639,348670,12.761884063159943,-0.13768171193000908,-0.09989290278263281
2015,11,2015-11,0.039,0.642,350459,12.76700185626241,-0.07718243393515704,-0.07218675510409617
2015,12,2015-12,0.037,0.639,350010,12.765719861543158,-0.09422934480210002,-0.14255922256685574
2016,1,2016-01,0.041,0.632,347435,12.758335754363246,-0.2367267009875893,-0.18602325760938773
2016,2,2016-02,0.038,0.633,349549,12.764401891940132,-0.17469432505441104,-0.2150716356086822
2016,3,2016-03,0.037,0.633,350579,12.767344204776538,-0.15453685188232166,-0.22992054869652787
2016,4,2016-04,0.034,0.633,351084,12.768783638372899,-0.1192562156984869,-0.271684034476699
2016,5,2016-05,0.035,0.634,350487,12.767081748066124,-0.12420934836088084,-0.24284422702576364
2016,6,2016-06,0.04,0.644,354048,12.777190600616109,-0.030613438200119258,-0.033368536579277276
2016,7,2016-07,0.038,0.645,355265,12.780622083650272,0.012310595650058424,-0.047683912211284395
2016,8,2016-08,0.033,0.643,355898,12.782402261716308,0.04705238154979973,-0.14597300946217112
2016,9,2016-09,0.032,0.634,351598,12.770246600648045,-0.08304494197931128,-0.28525776697963384
2016,10,2016-10,0.027,0.639,354975,12.779805460538386,0.055043598795173926,-0.28526991640255206
2016,11,2016-11,0.026,0.642,356974,12.785421030298496,0.11724032157756686,-0.2577513068214736
2016,12,2016-12,0.025,0.639,356728,12.78473166885526,0.09209029115406236,-0.31460665741134414
2017,1,2017-01,0.034,0.639,355449,12.78113987135763,-0.011274202664796585,-0.18958991126838223
2017,2,2017-02,0.034,0.645,358403,12.789416120734918,0.08279485000527732,-0.10595864815674827
2017,3,2017-03,0.032,0.652,362917,12.801932192411993,0.22254441626786403,-0.036947303699880606
2017,4,2017-04,0.034,0.654,364559,12.806446425937764,0.23963899885775933,0.017749187577090163
2017,5,2017-05,0.039,0.654,361996,12.79939120348075,0.16496016410908257,0.08910921486340245
2017,6,2017-06,0.043,0.662,364609,12.806583568168186,0.23678585864039914,0.2570268533163031
2017,7,2017-07,0.042,0.663,365271,12.808397560516346,0.26407013307443306,0.25706126205298
2017,8,2017-08,0.036,0.657,364706,12.806849570470538,0.2536889840047753,0.0884527631570984
2017,9,2017-09,0.034,0.648,360216,12.794461906612517,0.13292454910583218,-0.06448497930629452
2017,10,2017-10,0.031,0.645,359860,12.793473124761094,0.127001540100839,-0.14870830749655553
2017,11,2017-11,0.03,0.645,360193,12.794398054172708,0.14027962886163856,-0.16279716837319136
2017,12,2017-12,0.027,0.647,362346,12.800357595215173,0.2129229388964617,-0.17734716056994612
2018,1,2018-01,0.033,0.626,361240,12.797300604603622,-0.08870885639000756,-0.397375814132892
2018,2,2018-02,0.032,0.634,366154,12.810812020001604,0.055285288213262264,-0.3005408491639198
2018,3,2018-03,0.031,0.639,369308,12.819388970974245,0.14952934576884527,-0.24522149356841091
2018,4,2018-04,0.028,0.645,373932,12.83183191596337,0.28817914265585665,-0.20438121626492295
2018,5,2018-05,0.031,0.651,376517,12.838721133844222,0.34714625308045055,-0.07900620994234596
2018,6,2018-06,0.039,0.663,380575,12.849441173526971,0.43440312030668526,0.2003768426679083
2018,7,2018-07,0.038,0.67,384241,12.859027841405318,0.5540392338999169,0.2842322367134433
2018,8,2018-08,0.034,0.665,383347,12.85669847180896,0.5317199121981675,0.15785713381217842
2018,9,2018-09,0.03,0.656,379748,12.847265787143163,0.4412801738567569,-0.02367468615014675
2018,10,2018-10,0.027,0.659,382442,12.85433490153636,0.5286816217654805,-0.024184486360693633
2018,11,2018-11,0.024,0.658,383224,12.856377563034307,0.5550448631339799,-0.08063346455097055
2018,12,2018-12,0.023,0.664,383962,12.858301472760836,0.6375761313256895,-0.008349340353529477
2019,1,2019-01,0.03,0.667,385880,12.86328431076035,0.6166229617404614,0.12933079060239064
2019,2,2019-02,0.025,0.667,387709,12.868012916465409,0.6833679100411135,0.05884731964405635
2019,3,2019-03,0.025,0.668,388432,12.86987597574476,0.7006954748706277,0.07260363468395478
2019,4,2019-04,0.022,0.665,387742,12.868098028006713,0.6920813683619829,-0.011322374082657623
2019,5,2019-05,0.029,0.668,386895,12.865911202046378,0.6466792646408803,0.12905893845299815
2019,6,2019-06,0.031,0.675,390540,12.875288236348387,0.7352284253049204,0.2542144892887476
2019,7,2019-07,0.028,0.674,390678,12.875641529918534,0.7558308324935463,0.19840198298244366
2019,8,2019-08,0.027,0.676,392536,12.88038607927762,0.8040828956052035,0.21179052539806528
2019,9,2019-09,0.028,0.665,385445,12.862156384352696,0.6110758659168046,0.0733585030730411
2019,10,2019-10,0.023,0.671,390983,12.876421917414115,0.7761888456192292,0.08603133291930502
2019,11,2019-11,0.021,0.67,391531,12.877822527982039,0.7902386288433118,0.0435646407162336
2019,12,2019-12,0.02,0.67,392118,12.879320644132688,0.8054713147663702,0.02925983088161237
